0,1,2,3,4,5,6,7,8,9
0.0,130494014.30499999,67928984.03999999,67783023.765,27004966.295,58598583.555,28092576.89,18401787.42,226374841.97,54488650.98
454828545.91999996,0.0,153223589.95,110863019.75999999,62759148.135000005,74020137.96000001,39243382.84,34878164.44,49574458.415,110673004.935
120638585.69,158027189.425,0.0,21025778.46,9655000.685,10467526.305,5654888.825,3971463.88,8668836.235,45356535.7
118296113.9,107741458.54499999,20614139.96,0.0,10973700.99,75454978.53,102378395.37,69571787.32499999,11821886.885,20527257.265
51443948.894999996,19992776.555,4384979.505,8991608.825,0.0,7616073.3149999995,4409128.485,4569142.8100000005,3259211.92,4708037.17
53224033.94,19192114.025,6777317.98,40530007.61,4318648.455,0.0,22906669.07,10564590.535,6693028.0600000005,4637653.77
40477178.504999995,24836153.88,7869220.575,67114918.465,3910796.1550000003,30545253.89,0.0,36438130.03,4188332.4050000003,5681373.3
49734862.29000001,18463807.244999997,9300047.825,62816496.17,3576589.73,24736264.735,50107895.24,0.0,5795852.76,5995740.390000001
280336542.19,20462250.395000003,10022999.094999999,5055111.975,2756422.54,14949891.665,2930703.7350000003,2398241.065,0.0,3953776.71
76344016.98,152827589.415,25845979.83,11128547.06,12060555.725,4592296.455,3276066.645,3401161.665,6317795.33,0.0
