Country Name,Country Code,GDP,Imports,Exports,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],Target,Current Emissions,Continent
United States,USA,23315080560000.0,3401361000000.0,2539648000000.0,5753490.234375,5653080.078125,5736319.82421875,5558379.8828125,5156430.17578125,5392109.86328125,5173600.09765625,4956060.05859375,5092100.09765625,5107209.9609375,4990709.9609375,4894500.0,4819370.1171875,4975310.05859375,4817720.21484375,2819210.21484375,4817720.21484375,North America
China,CHN,17734062645371.4,3091259284838.91,3553509241460.01,5824629.8828125,6437470.21484375,6993180.17578125,7199600.09765625,7719069.82421875,8474919.921875,9282549.8046875,9541870.1171875,9984570.3125,10006669.921875,9861099.609375,9874660.15625,10096009.765625,10502929.6875,10707219.7265625,15815204.585969657,10707219.7265625,Asia
Japan,JPN,4940877780755.33,936410488486.737,910488958468.817,1212819.94628906,1189520.01953125,1225069.94628906,1158219.97070313,1100979.98046875,1156479.98046875,1213520.01953125,1253609.98535156,1262780.02929688,1217119.99511719,1179439.94140625,1167790.0390625,1155229.98046875,1116150.02441406,1081569.94628906,654922.7709960924,1081569.94628906,Asia
Germany,DEU,4259934911821.64,1776913559651.13,2003471014267.41,802380.004882813,814409.973144531,783799.987792969,789690.002441406,734809.997558594,773070.007324219,746479.98046875,760130.004882813,776150.024414063,736010.009765625,742309.997558594,747150.024414063,732200.012207031,707700.012207031,657400.024414063,361071.00219726586,657400.024414063,Europe
India,IND,3176295065497.24,758871889541.353,679680586359.909,1136469.97070313,1215209.9609375,1336739.99023438,1424380.00488281,1564880.00488281,1659979.98046875,1756739.99023438,1909439.94140625,1972430.05371094,2147110.10742188,2158020.01953125,2195250.0,2320409.91210938,2451929.93164063,2456300.04882813,625058.4838867215,2456300.04882813,Asia
United Kingdom,GBR,3131377762925.95,899365324620.777,875196919682.023,540919.982910156,542059.997558594,530500.0,515340.026855469,466489.990234375,482440.002441406,445589.996337891,467779.998779297,453760.009765625,415600.006103516,401079.986572266,380809.997558594,367000.0,360730.010986328,348920.013427734,179766.4,348920.013427734,Europe
France,FRA,2957879759263.52,928505549465.101,871058669864.327,380660.003662109,371549.987792969,362829.986572266,357989.990234375,343730.010986328,347779.998779297,335140.014648438,338420.013427734,338559.997558594,306100.006103516,311299.987792969,313920.013427734,317829.986572266,307049.987792969,300519.989013672,171297.00164794907,300519.989013672,Europe
Italy,ITA,2107702842669.73,638914659667.432,688582419700.764,473829.986572266,466649.993896484,459369.995117188,444980.010986328,397059.997558594,405269.989013672,396690.002441406,376750.0,346459.991455078,327500.0,337859.985351563,333339.996337891,329190.002441406,324880.004882813,317239.990234375,213223.4939575197,317239.990234375,Europe
Canada,CAN,1988336331717.42,609185797030.302,611121393735.116,549030.029296875,540530.029296875,571630.004882813,550469.970703125,521320.007324219,537010.009765625,549289.978027344,546210.021972656,555659.973144531,561679.992675781,558700.012207031,556830.017089844,568080.017089844,580090.026855469,580210.021972656,315692.2668457031,580210.021972656,North America
"Korea, Rep.",KOR,1810955871380.98,696436487239.089,761244269131.139,481000.0,487850.006103516,503690.002441406,514919.982910156,526640.014648438,575219.970703125,598479.98046875,600320.007324219,599599.975585938,588090.026855469,607830.017089844,615880.004882813,626630.004882813,630640.014648438,610789.978027344,378384.0,610789.978027344,Asia
